rank,uid,username,type
1,96957,ルルティエ,提督
2,38133,FayeVL,提督
3,520352,黑镰刀,提督
4,381534568,sayakadead,提督
5,931185,あくあまつき,提督
6,356404138,Rapturre,提督
7,1640605,神の道化,提督
8,452196256,无糖香草可乐,舰长
9,2512897,山下住一丁,舰长
10,15256555,sky_hood,舰长
11,12422769,Beartooth90,舰长
12,342447,任意子,舰长
13,49337,无公害沙包,舰长
14,12501775,コンプランド,舰长
15,25593802,同调群单推人,舰长
16,553301,镜晓文,舰长
17,1829374,MusashinoTakumi,舰长
18,5155551,科罗娜青柠,舰长
19,666671,Miki的麦麦,舰长
20,8772065,Yukari_YuRI,舰长
21,105402,清新正直HHP,舰长
22,16011437,特别驹,舰长
23,10786214,千万ly,舰长
24,7913853,アベリアF,舰长
25,18363194,岁星昼见,舰长
26,356189,Heavens Feel,舰长
27,735538,AOZAKI-YUI,舰长
28,2513015,エーワックス-2434,舰长
29,3182660,影月LuneZ,舰长
30,5812842,弥之鸣,舰长
31,1603612,月ノneet,舰长
32,4921755,アルカローズ,舰长
33,4304729,清光高校地雷部,舰长
34,2599251,Devi_Lito,舰长
35,4206472,Flanker-16,舰长
36,11034077,へーぴー,舰长
37,1920686335,弥希_Miki,舰长
38,537436,雪纪_Yuuki,舰长
39,11546675,贝尔纳德C3,舰长
40,281163151,JOL1ON,舰长
41,12036148,寇塔娜哪去了,舰长
42,774372,黑糖香草摩卡,舰长
43,925,911,舰长
44,48934997,感应性本能,舰长
45,5801333,低级咬人细胞,舰长
46,287341,マスイカ,舰长
47,394942544,咳哈哈哈哼哼,舰长
48,7864667,奈亚子从不发糖,舰长
49,936269,紳士君P,舰长
50,26465,一个大光头都没有,舰长
51,12037051,岛那灯,舰长
52,44319213,11K5D6A,舰长
53,343691814,Noneither,舰长
54,123785,灯十走十走十走,舰长
55,13026101,Naglfar-,舰长
56,2699660,朝日奈未來,舰长
57,511821,CureMagical,舰长
58,5460965,松石绿的钢,舰长
59,7180032,无为無為,舰长
60,16171733,铃鹿Toshi,舰长
61,6165418,一号机测试机师,舰长
62,502895183,Lyn_0502,舰长
63,1397965,雨宫ノエル,舰长
64,10181310,流转快晴,舰长
65,2450646,CYSoulDown,舰长
66,150038690,坚守阵地卢载铉,舰长
67,14354112,EndlessDice,舰长
68,14910777,勉強机,舰长
69,4072141,云水暮烟,舰长
70,1874852,YaMacoffe,舰长
71,372454,有栖ヒロ,舰长
72,3799624,不苦大仇深的橘子,舰长
73,2290770,夕月秋乃,舰长
74,2650864,羽落魂龛,舰长
75,12974,蓬萊山空,舰长
76,569267,鵺鸮,舰长
77,3925567,hooudp,舰长
78,3493104340437958,大卡不卡小卡也不卡,舰长
79,13573100,zerobom,舰长
80,5708258,筆墨倦客,舰长
81,2251472,雷风雨电,舰长
82,3677907,李黑羊,舰长
83,1698435,吕同学リッキー,舰长
84,35903667,叶赫H,舰长
85,177462569,Curse_Zzzz,舰长
86,222222262,晓梦残夜,舰长
87,10776008,丽兹与青鸟,舰长
88,3959318,音流Cymatics,舰长
89,443066653,毛线毛裤qaq,舰长
90,38629676,经典款曲池,舰长
91,14482688,AAlieeen,舰长
92,10261329,yukino-雪之下雪乃,舰长
93,175534794,sorinX,舰长
94,11210842,莉丶羽,舰长
95,536365,鸢尾百合,舰长
96,155720983,五十米-深藍,舰长
97,3561142,无名一世,舰长
98,20877518,河蟹君血型O,舰长
99,486937583,红白鬼巫,舰长
100,159019,九重雪会,舰长
101,20186995,黇鹿dmdm,舰长
102,11347396,傻坐着发愣,舰长
103,119629,灰原烬,舰长
104,1764112,Igno-,舰长
105,94809389,夜闻啼雁,舰长
106,7367780,里莲花,舰长
107,1822772500,天球仪观测者,舰长
108,29147008,摸摸摸_Mona,舰长
109,237845732,gigigigibeibei,舰长
110,4260554,月映LANE,舰长
111,166209441,中川natsuki,舰长
112,6036699,内巻玉子,舰长
113,28647475,Urobolus_0,舰长
114,8396429,airstone42,舰长
115,690608698,瑞娅_Rhea,舰长
116,330986,头上一板砖,舰长
117,69278170,旅团茶绘猫,舰长
118,5285,凉叶スズハ,舰长
119,9819432,天遂_人愿,舰长
120,55616372,二条信佑,舰长
121,8969216,五个叹号义务推广员,舰长
122,1878939,破破破破破cd,舰长
123,4393496,不爱说话的久久,舰长
124,4876018,弥希MlKl,舰长
125,1780845,noncrystal,舰长
126,35128441,月蝕尽絶黒阿修羅,舰长
127,7257611,椎名エリ,舰长
128,1829907,Skorz_Tsurumi,舰长
129,4642882,全装甲键盘侠MK-2,舰长
130,11500575,我觉得有一点饿oVO,舰长
131,453572565,霧深主人的貓andy878797,舰长
132,236018,ドジみ,舰长
