rank,uid,username,type,accompany,medal_name,medal_level
1,96957,ルルティエ,舰长,2185,弥人,49
2,38133,FayeVL,舰长,2211,弥人,48
3,4333178,波动性巧克力慕斯,舰长,603,弥人,42
4,264506970,弥希Miki的真空家乡,舰长,363,弥人,42
5,4304729,清光高校地雷部,舰长,1496,弥人,42
6,1640605,神の道化,舰长,922,弥人,39
7,16011437,瑪修-,舰长,2028,弥人,39
8,4921755,アルカローズ,舰长,1938,弥人,38
9,774372,黑糖香草摩卡,舰长,1374,弥人,36
10,10261329,yukino-雪之下雪乃,舰长,936,弥人,35
11,159019,九重雪会,舰长,1059,弥人,35
12,28647475,Urobolus_0,舰长,913,弥人,34
13,20186995,黇鹿dmdm,舰长,1191,弥人,34
14,323728572,每秒单推一个,舰长,346,弥人,31
15,44123513,爱凑热闹です,舰长,376,弥人,30
16,1996785597,机界怨种,舰长,76,弥人,25
17,3418526,l786266731,舰长,69,弥人,25
18,695211604,星韵璃梦栖,舰长,76,弥人,25
19,65439365,米汀家的弥人小礼猫,舰长,20,弥人,22
